Vp,Bulk,MS,Porosity,Resistivity,Species
3823.29,2.39,1337.4,16,0.59,CorAlg
3845.79,2.39,1338.1,16,0.56,CorAlg
3936.9,2.43,1256,13,0.55,CorAlg
3922.11,2.38,1172.9,17,0.55,CorAlg
3898.15,2.4,1123.8,15,0.56,CorAlg
3920.31,2.36,1113.9,18,0.54,CorAlg
3919.71,2.4,1123.9,15,0.53,CorAlg
3908.01,2.39,1094,16,0.55,CorAlg
3760.21,2.31,941.8,21,0.56,CorAlg
3655.11,2.35,1032.9,18,0.48,CorAlg
3771.63,2.4,1423.8,15,0.49,CorAlg
3883.61,2.38,1662.2,17,0.51,CorAlg
3837.44,2.36,1764.3,18,0.49,CorAlg
3738.71,2.36,1709.4,18,0.53,CorAlg
3717.45,2.32,1553.2,20,0.53,CorAlg
3728.62,2.32,1363.9,20,0.52,CorAlg
3860.69,2.38,1208.4,17,0.51,CorAlg
3895.18,2.4,1079.7,15,0.54,CorAlg
3780.16,2.4,746.1,16,0.58,CorAlg
3813.34,2.31,798.2,21,0.56,CorAlg
3678.93,2.34,809.9,19,0.55,CorAlg
3981.41,2.45,862.8,12,0.53,CorAlg
4081.96,2.43,845.1,14,0.53,CorAlg
4292.91,2.51,198.2,9,0.58,EncrCoral
4248.84,2.5,172.8,9,0.62,EncrCoral
3981.29,2.37,151,17,0.73,EncrCoral
3717.05,2.28,161.5,23,0.69,EncrCoral
3675.01,2.35,143.1,18,0.59,EncrCoral
3640.56,2.32,131.3,20,0.62,EncrCoral
3672.05,2.25,136.1,25,0.66,EncrCoral
3714.32,2.33,150.5,20,0.69,EncrCoral
3702.93,2.26,160.4,24,0.67,EncrCoral
3711.41,2.37,152.9,17,0.68,EncrCoral
3799.49,2.41,132.6,15,0.63,EncrCoral
3808.49,2.35,110.7,18,0.65,EncrCoral
3700.34,2.28,160.6,23,0.47,EncrCoral
3655.94,2.23,183.9,26,0.52,EncrCoral
3602.87,2.35,304.3,18,0.53,EncrCoral
3632.23,2.32,279.2,20,0.54,EncrCoral
3829.86,2.39,223.3,16,0.56,EncrCoral
3603.41,2.23,516.4,26,0.91,EncrCoral
3786.97,2.36,590,18,0.82,EncrCoral
3667.66,2.3,588.3,22,0.72,EncrCoral
3817.53,2.44,484.7,13,0.55,EncrCoral
3972.77,2.34,473.8,19,0.58,EncrCoral
3828.38,2.41,638.7,15,0.74,EncrCoral
4193.98,2.52,2377.4,8,0.35,EncrCoral
4291.91,2.31,1173.7,21,0.35,EncrCoral
4117.4,2.49,664.5,10,0.74,EncrCoral
4076,2.5,564.8,9,0.77,EncrCoral
4020.11,2.42,470.4,14,0.78,EncrCoral
3759.07,2.31,387.3,21,0.74,EncrCoral
3965.44,2.48,743.4,10,0.63,EncrCoral
4350,2.55,780.6,6,0.69,EncrCoral
4323.7,2.47,786.5,11,0.75,EncrCoral
4038.69,2.41,551.2,15,0.64,EncrCoral
3678.44,2.33,335.9,19,0.6,EncrCoral
3764.51,2.27,373.4,24,0.6,EncrCoral
3975.08,2.45,522,12,0.54,EncrCoral
3739.38,2.36,540.3,18,0.5,EncrCoral
3725.08,2.4,245.5,15,0.48,EncrCoral
3912.23,2.46,292.4,11,0.53,EncrCoral
4022.18,2.41,348.7,14,0.52,EncrCoral
3886.37,2.33,408.1,20,0.49,EncrCoral
3792.63,2.36,464.2,18,0.46,EncrCoral
4233.54,2.44,655.9,13,0.53,EncrCoral
3967.94,2.34,599.8,19,0.58,EncrCoral
4301.77,2.53,489.8,8,0.52,EncrCoral
4028.41,2.5,443.2,9,0.52,EncrCoral
3985.34,2.42,464.3,14,0.53,EncrCoral
4151.38,2.23,540.5,26,0.54,EncrCoral
4426.04,2.45,627.8,12,0.54,EncrCoral
4380.06,2.52,679,8,0.55,EncrCoral
4058.95,2.41,514.3,15,0.52,EncrCoral
3981.69,2.41,504.1,15,0.47,EncrCoral
3884.59,2.42,504.5,14,0.44,EncrCoral
4349,2.55,693.7,6,0.52,EncrCoral
4275.74,2.49,662.5,10,0.5,EncrCoral
4164.17,2.48,564.3,11,0.56,EncrCoral
4153.82,2.36,448.8,18,0.65,EncrCoral
3952.27,2.44,363,13,0.45,EncrCoral
3961.47,2.24,379.7,25,0.44,EncrCoral
3888.13,2.31,404.8,21,0.43,EncrCoral
4112.82,2.48,421.3,11,0.44,EncrCoral
4165.42,2.42,402.9,14,0.47,EncrCoral
3941.03,2.37,303.6,17,0.41,EncrCoral
3993.65,2.28,256,23,0.52,EncrCoral
3630.91,2.3,130.6,22,0.64,EncrCoral
3694.84,2.41,98,15,0.7,EncrCoral
3738.12,2.4,76,15,0.79,EncrCoral
4186.31,2.4,219.5,16,0.57,EncrCoral
3939.9,2.33,227,20,0.58,EncrCoral
3879.8,2.45,225.7,12,0.57,EncrCoral
4144.4,2.41,757.1,15,0.56,EncrCoral
4104.77,2.36,631.4,18,0.59,EncrCoral
4030.79,2.32,543.5,21,0.59,EncrCoral
3796.91,2.4,565.3,15,0.65,EncrCoral
3843.15,2.35,291.3,19,0.48,EncrCoral
3855.34,2.44,317,13,0.5,EncrCoral
3999.38,2.46,335.5,11,0.56,EncrCoral
4023.36,2.42,799,14,0.57,EncrCoral
4222.67,2.57,682.7,5,0.61,EncrCoral
4037.37,2.42,411.8,14,0.65,EncrCoral
4116.2,2.46,426,12,0.57,EncrCoral
4037.37,2.46,413.2,12,0.51,EncrCoral
4051.46,2.39,358.7,16,0.49,EncrCoral
4091.73,2.41,299.6,15,0.49,EncrCoral
4104.89,2.39,264,16,0.49,EncrCoral
3856.11,2.28,251.8,23,0.51,EncrCoral
3796.9,2.3,245.3,22,0.56,EncrCoral
3877.13,2.32,236.5,20,0.56,EncrCoral
3998.75,2.4,226.2,15,0.48,EncrCoral
4127.59,2.47,220.1,11,0.41,EncrCoral
4196.18,2.55,217.3,6,0.38,EncrCoral
4252.17,2.53,207.7,8,0.35,EncrCoral
4200.78,2.58,260.5,4,0.67,EncrCoral
4449.45,2.53,364.2,7,1,EncrCoral
4400.27,2.47,410.4,11,1,EncrCoral
4266.4,2.44,425,13,0.96,EncrCoral
4090.34,2.29,467.4,22,0.91,EncrCoral
4224.74,2.48,684.4,10,0.78,EncrCoral
4069.83,2.44,668.2,13,0.73,EncrCoral
4081.05,2.29,371.9,22,0.36,EncrCoral
4144.4,2.22,377.9,27,0.37,EncrCoral
3639.56,2.52,1833.4,8,0.41,EncrCoral
3577.1,2.44,1590.8,13,0.41,EncrCoral
3717.55,2.42,876.6,14,0.53,EncrCoral
3941.78,2.43,951.3,14,0.56,EncrCoral
3881.97,2.43,1433.3,13,0.57,EncrCoral
3703.26,2.4,1531.5,16,0.61,EncrCoral
3630.05,2.33,1281.1,20,0.59,EncrCoral
3550.44,2.4,1198.6,16,0.57,EncrCoral
3671.2,2.41,1151.4,15,0.53,EncrCoral
3824.45,2.49,1405.8,10,0.53,EncrCoral
3903.31,2.45,1157.1,13,0.54,EncrCoral
3482.23,2.4,4037.7,15,0.41,EncrCoral
3695.48,2.49,4329.9,10,0.43,EncrCoral
3840.87,2.46,4512.5,12,0.45,EncrCoral
3792.76,2.43,4011.6,13,0.42,EncrCoral
3748.24,2.42,3998.6,14,0.42,EncrCoral
4098.78,2.54,2245.4,7,0.48,EncrCoral
3828.64,2.47,1967,11,0.49,EncrCoral
3884.43,2.46,1580.5,12,0.54,EncrCoral
3747.65,2.39,1481.7,16,0.52,EncrCoral
3661.12,2.42,1624.2,14,0.52,EncrCoral
3825.64,2.48,2008.9,11,0.53,EncrCoral
4176.59,2.53,1279.8,7,0.53,EncrCoral
4136.01,2.5,1453,10,0.52,EncrCoral
4057.18,2.47,1675.3,11,0.54,EncrCoral
3908.2,2.41,1337.8,15,0.6,EncrCoral
4096.22,2.57,996.9,5,0.51,EncrCoral
4313.73,2.64,758.2,1,0.46,EncrCoral
4341.53,2.59,692.4,4,0.5,EncrCoral
3663.24,2.41,2315.7,15,0.64,EncrCoral
3759.98,2.4,2181.9,15,0.69,EncrCoral
3590.81,2.29,2061.9,22,0.67,EncrCoral
3427.5,2.32,1909.9,20,0.64,EncrCoral
3550.17,2.5,1709,10,0.63,EncrCoral
3780.26,2.41,1101,15,0.82,EncrCoral
3477.31,2.29,3108.9,22,0.45,EncrCoral
3613.16,2.3,2907.9,21,0.36,EncrCoral
3638.45,2.44,3748.7,13,0.38,EncrCoral
3679.71,2.42,4527.3,14,0.42,EncrCoral
3641.26,2.39,5013.8,16,0.45,EncrCoral
3625.98,2.35,5106.1,18,0.47,EncrCoral
3625.42,2.35,4944.6,18,0.47,EncrCoral
3922.24,2.47,3896.6,11,0.48,EncrCoral
3739.51,2.4,2623.6,16,0.49,EncrCoral
3604.21,2.35,2328.7,19,0.5,EncrCoral
3654.3,2.43,2074.9,13,0.51,EncrCoral
3942.39,2.4,1838.3,15,0.51,EncrCoral
3859.86,2.34,1625.8,19,0.5,EncrCoral
3941.18,2.39,1518.8,16,0.49,EncrCoral
3905.05,2.49,1577.9,10,0.49,EncrCoral
3802.81,2.36,1843.8,18,0.51,EncrCoral
3780.11,2.36,2324.9,18,0.52,EncrCoral
3833.83,2.4,2598.5,15,0.49,EncrCoral
3691.51,2.37,2432.1,18,0.48,EncrCoral
3629.09,2.35,2416.8,19,0.48,EncrCoral
3598.66,2.35,2491.4,19,0.5,EncrCoral
3774.06,2.27,3100,23,0.47,EncrCoral
3698.1,2.44,2949,13,0.48,EncrCoral
3696.38,2.34,2752.1,19,0.5,EncrCoral
3810.51,2.28,2050.9,23,0.46,EncrCoral
3890.9,2.25,2141.5,24,0.46,EncrCoral
3914.49,2.4,2197.7,15,0.48,EncrCoral
4079.16,2.45,1386.8,12,0.54,EncrCoral
4052.86,2.47,1524.6,11,0.51,EncrCoral
3904.18,2.39,1547.9,16,0.5,EncrCoral
3795.74,2.29,782.2,22,0.85,EncrCoral
3731.82,2.37,621.3,17,0.83,EncrCoral
3701.27,2.37,544.5,17,0.88,EncrCoral
4377.81,2.51,2398.9,9,0.99,EncrCoral
4111.25,2.29,2109,22,1.04,EncrCoral
3746.52,2.34,1047.1,19,0.56,EncrCoral
4011.29,2.37,1239.3,17,0.8,EncrCoral
4152.05,2.48,1223.8,10,0.69,EncrCoral
4122.01,2.45,1193.8,12,0.6,EncrCoral
4106.82,2.44,1167.4,13,0.57,EncrCoral
4066.28,2.27,1181.4,23,0.61,EncrCoral
3741.2,2.43,1043.5,14,0.54,EncrCoral
4027.78,2.47,849.8,11,0.64,EncrCoral
4216.54,2.51,462.9,9,0.65,EncrCoral
4095.6,2.53,394.6,7,0.64,EncrCoral
4006.86,2.45,352.9,12,0.67,EncrCoral
4121.87,2.48,444.8,11,0.81,EncrCoral
4043.42,2.31,547.5,21,0.72,EncrCoral
3850.21,2.39,644.4,16,0.66,EncrCoral
3921.17,2.41,786.5,15,0.57,EncrCoral
3957.77,2.32,852,20,0.55,EncrCoral
3813.38,2.3,965.8,21,0.58,EncrCoral
4037.29,2.42,1081.6,14,0.53,EncrCoral
3824.6,2.34,1149.5,19,0.51,EncrCoral
3940.57,2.35,1089.8,18,0.53,EncrCoral
3988.34,2.48,1009.7,10,0.55,EncrCoral
4083.7,2.31,1325.4,21,0.55,EncrCoral
4041.77,2.45,1315.1,13,0.57,EncrCoral
3902.35,2.27,1335.4,23,0.6,EncrCoral
3881.5,2.24,965.8,25,0.58,EncrCoral
3991.3,2.45,1007.9,12,0.56,EncrCoral
